Throughput,FLOPS,MEM
15.11,33.554,1.049
28.89,79.304,1.86
77.69,155.709,2.917
78.36,268.435,4.194
80.45,425.552,5.703
73.6,637.224,7.464
79.44,905.97,9.437
84.21,1241.301,11.642
90.88,1655.872,14.108
86.44,2147.484,16.777
79.05,33.554,1.049
78.24,79.304,1.86
75.95,155.709,2.917
77.62,268.435,4.194
64.92,425.552,5.703
80.99,637.224,7.464
76.98,905.97,9.437
82.09,1241.301,11.642
85.29,1655.872,14.108
82.5,2147.484,16.777
80.29,33.554,1.049
78.93,79.304,1.86
75.26,155.709,2.917
78.39,268.435,4.194
78.9,425.552,5.703
73.56,637.224,7.464
77.53,905.97,9.437
83.31,1241.301,11.642
86.53,1655.872,14.108
83.88,2147.484,16.777
57.59,33.554,1.049
59.67,79.304,1.86
67.53,155.709,2.917
64.98,268.435,4.194
64.63,425.552,5.703
38.98,637.224,7.464
67.2,905.97,9.437
70.92,1241.301,11.642
72.85,1655.872,14.108
67.1,2147.484,16.777
61.39,33.554,1.049
61.26,79.304,1.86
69.05,155.709,2.917
66.93,268.435,4.194
31.77,425.552,5.703
63.93,637.224,7.464
71.92,905.97,9.437
72.99,1241.301,11.642
73.88,1655.872,14.108
62.32,2147.484,16.777
61.26,33.554,1.049
62.05,79.304,1.86
71.21,155.709,2.917
66.85,268.435,4.194
67.04,425.552,5.703
70.32,637.224,7.464
71.6,905.97,9.437
52.23,1241.301,11.642
74.33,1655.872,14.108
76.17,2147.484,16.777
61.01,33.554,1.049
62.17,79.304,1.86
68.18,155.709,2.917
66.87,268.435,4.194
60.89,425.552,5.703
39.48,637.224,7.464
71.62,905.97,9.437
72.69,1241.301,11.642
74.16,1655.872,14.108
62.6,2147.484,16.777
62.04,33.554,1.049
60.96,79.304,1.86
69.56,155.709,2.917
64.89,268.435,4.194
66.22,425.552,5.703
69.72,637.224,7.464
71.75,905.97,9.437
72.71,1241.301,11.642
57.32,1655.872,14.108
75.45,2147.484,16.777
62.22,33.554,1.049
61.99,79.304,1.86
69.91,155.709,2.917
67.25,268.435,4.194
67.98,425.552,5.703
71.35,637.224,7.464
50.53,905.97,9.437
66.29,1241.301,11.642
75.04,1655.872,14.108
76.53,2147.484,16.777
67.6,33.554,1.049
66.12,79.304,1.86
73.94,155.709,2.917
71.04,268.435,4.194
70.28,425.552,5.703
73.9,637.224,7.464
75.09,905.97,9.437
52.62,1241.301,11.642
77.38,1655.872,14.108
79.22,2147.484,16.777
62.11,33.554,1.049
61.37,79.304,1.86
70.37,155.709,2.917
66.79,268.435,4.194
35.75,425.552,5.703
55.98,637.224,7.464
73.06,905.97,9.437
73.64,1241.301,11.642
75.16,1655.872,14.108
62.05,2147.484,16.777
61.08,33.554,1.049
61.6,79.304,1.86
69.53,155.709,2.917
66.67,268.435,4.194
67.58,425.552,5.703
70.78,637.224,7.464
73.17,905.97,9.437
73.78,1241.301,11.642
57.83,1655.872,14.108
76.92,2147.484,16.777
59.98,33.554,1.049
60.58,79.304,1.86
69.01,155.709,2.917
65.84,268.435,4.194
66.59,425.552,5.703
70.62,637.224,7.464
44.7,905.97,9.437
73.55,1241.301,11.642
74.43,1655.872,14.108
74.92,2147.484,16.777
60.2,33.554,1.049
60.87,79.304,1.86
70.05,155.709,2.917
67.18,268.435,4.194
67.25,425.552,5.703
70.93,637.224,7.464
73.35,905.97,9.437
58.27,1241.301,11.642
67.98,1655.872,14.108
76.43,2147.484,16.777
60.2,33.554,1.049
60.87,79.304,1.86
70.05,155.709,2.917
67.18,268.435,4.194
67.25,425.552,5.703
70.93,637.224,7.464
73.35,905.97,9.437
58.27,1241.301,11.642
67.98,1655.872,14.108
76.43,2147.484,16.777
