Throughput,FLOPS,MEM
0.25,0.589,0.262
0.48,2.341,1.041
0.45,5.77,2.566
0.54,10.912,4.851
0.49,18.782,8.349
0.51,30.001,13.336
0.51,44.458,19.762
0.5,62.065,27.587
0.49,85.488,37.998
0.52,113.246,50.335
0.25,0.589,0.262
0.51,2.341,1.041
0.46,5.77,2.566
0.54,10.912,4.851
0.44,18.782,8.349
0.52,30.001,13.336
0.51,44.458,19.762
0.5,62.065,27.587
0.49,85.488,37.998
0.52,113.246,50.335
0.24,0.589,0.262
0.49,2.341,1.041
0.45,5.77,2.566
0.54,10.912,4.851
0.49,18.782,8.349
0.49,30.001,13.336
0.51,44.458,19.762
0.48,62.065,27.587
0.43,85.488,37.998
0.45,113.246,50.335
0.25,0.589,0.262
0.49,2.341,1.041
0.45,5.77,2.566
0.53,10.912,4.851
0.49,18.782,8.349
0.5,30.001,13.336
0.5,44.458,19.762
0.49,62.065,27.587
0.44,85.488,37.998
0.45,113.246,50.335
0.3,0.589,0.262
0.52,2.341,1.041
0.45,5.77,2.566
0.54,10.912,4.851
0.5,18.782,8.349
0.52,30.001,13.336
0.49,44.458,19.762
0.49,62.065,27.587
0.44,85.488,37.998
0.45,113.246,50.335
0.28,0.589,0.262
0.5,2.341,1.041
0.45,5.77,2.566
0.53,10.912,4.851
0.48,18.782,8.349
0.48,30.001,13.336
0.5,44.458,19.762
0.48,62.065,27.587
0.47,85.488,37.998
0.51,113.246,50.335
0.24,0.589,0.262
0.5,2.341,1.041
0.44,5.77,2.566
0.53,10.912,4.851
0.49,18.782,8.349
0.51,30.001,13.336
0.49,44.458,19.762
0.48,62.065,27.587
0.43,85.488,37.998
0.45,113.246,50.335
0.3,0.589,0.262
0.5,2.341,1.041
0.45,5.77,2.566
0.53,10.912,4.851
0.49,18.782,8.349
0.5,30.001,13.336
0.49,44.458,19.762
0.48,62.065,27.587
0.43,85.488,37.998
0.44,113.246,50.335
0.28,0.589,0.262
0.49,2.341,1.041
0.44,5.77,2.566
0.52,10.912,4.851
0.48,18.782,8.349
0.47,30.001,13.336
0.49,44.458,19.762
0.46,62.065,27.587
0.46,85.488,37.998
0.49,113.246,50.335
0.3,0.589,0.262
0.44,2.341,1.041
0.43,5.77,2.566
0.5,10.912,4.851
0.47,18.782,8.349
0.46,30.001,13.336
0.48,44.458,19.762
0.46,62.065,27.587
0.41,85.488,37.998
0.43,113.246,50.335
0.28,0.589,0.262
0.52,2.341,1.041
0.45,5.77,2.566
0.54,10.912,4.851
0.5,18.782,8.349
0.49,30.001,13.336
0.53,44.458,19.762
0.5,62.065,27.587
0.5,85.488,37.998
0.52,113.246,50.335
0.26,0.589,0.262
0.48,2.341,1.041
0.3,5.77,2.566
0.51,10.912,4.851
0.5,18.782,8.349
0.52,30.001,13.336
0.5,44.458,19.762
0.5,62.065,27.587
0.43,85.488,37.998
0.45,113.246,50.335
0.31,0.589,0.262
0.49,2.341,1.041
0.44,5.77,2.566
0.44,10.912,4.851
0.46,18.782,8.349
0.5,30.001,13.336
0.47,44.458,19.762
0.49,62.065,27.587
0.47,85.488,37.998
0.5,113.246,50.335
0.29,0.589,0.262
0.48,2.341,1.041
0.45,5.77,2.566
0.4,10.912,4.851
0.49,18.782,8.349
0.5,30.001,13.336
0.48,44.458,19.762
0.48,62.065,27.587
0.42,85.488,37.998
0.45,113.246,50.335
0.22,0.589,0.262
0.45,2.341,1.041
0.45,5.77,2.566
0.51,10.912,4.851
0.48,18.782,8.349
0.49,30.001,13.336
0.49,44.458,19.762
0.47,62.065,27.587
0.42,85.488,37.998
0.44,113.246,50.335
