Throughput,FLOPS,MEM
7.12,65.028,3.615
7.34,115.606,4.822
11.87,180.634,6.028
13.98,260.112,7.236
15.6,354.042,8.444
17.37,462.422,9.652
11.55,585.253,10.861
17.75,722.534,12.071
15.79,874.267,13.281
22.37,1040.45,14.492
5.69,65.028,3.615
8.23,115.606,4.822
11.07,180.634,6.028
11.69,260.112,7.236
13.22,354.042,8.444
16.41,462.422,9.652
10.94,585.253,10.861
16.85,722.534,12.071
14.94,874.267,13.281
21.59,1040.45,14.492
5.43,65.028,3.615
8.16,115.606,4.822
8.83,180.634,6.028
12.08,260.112,7.236
13.74,354.042,8.444
16.16,462.422,9.652
10.61,585.253,10.861
15.99,722.534,12.071
14.45,874.267,13.281
19.91,1040.45,14.492
6.34,65.028,3.615
7.19,115.606,4.822
9.39,180.634,6.028
12.44,260.112,7.236
13.82,354.042,8.444
14.49,462.422,9.652
11.18,585.253,10.861
15.2,722.534,12.071
15.61,874.267,13.281
20.11,1040.45,14.492
6.39,65.028,3.615
8.05,115.606,4.822
10.74,180.634,6.028
10.63,260.112,7.236
13.68,354.042,8.444
16,462.422,9.652
10.91,585.253,10.861
16.57,722.534,12.071
14.54,874.267,13.281
21.14,1040.45,14.492
5.67,65.028,3.615
8.13,115.606,4.822
8.66,180.634,6.028
12.51,260.112,7.236
12.78,354.042,8.444
16.02,462.422,9.652
10.64,585.253,10.861
15.61,722.534,12.071
15.08,874.267,13.281
19.91,1040.45,14.492
5.42,65.028,3.615
8.16,115.606,4.822
10.7,180.634,6.028
10.6,260.112,7.236
12.72,354.042,8.444
16.07,462.422,9.652
10.82,585.253,10.861
16.49,722.534,12.071
14.52,874.267,13.281
20.97,1040.45,14.492
6.32,65.028,3.615
8.13,115.606,4.822
10.66,180.634,6.028
12.5,260.112,7.236
11.93,354.042,8.444
16.03,462.422,9.652
11.53,585.253,10.861
15.4,722.534,12.071
14.64,874.267,13.281
20.84,1040.45,14.492
6.21,65.028,3.615
6.52,115.606,4.822
10.34,180.634,6.028
12.36,260.112,7.236
12.51,354.042,8.444
14.54,462.422,9.652
11.18,585.253,10.861
15.27,722.534,12.071
15.52,874.267,13.281
20.06,1040.45,14.492
5.48,65.028,3.615
8.15,115.606,4.822
9.79,180.634,6.028
11.45,260.112,7.236
12.67,354.042,8.444
16.08,462.422,9.652
10.82,585.253,10.861
16.32,722.534,12.071
14.16,874.267,13.281
19.75,1040.45,14.492
5.45,65.028,3.615
8.11,115.606,4.822
10.5,180.634,6.028
10.58,260.112,7.236
13.9,354.042,8.444
16.37,462.422,9.652
10.76,585.253,10.861
16.37,722.534,12.071
14.3,874.267,13.281
20.35,1040.45,14.492
4.97,65.028,3.615
8.04,115.606,4.822
10.5,180.634,6.028
10.6,260.112,7.236
13.52,354.042,8.444
16.28,462.422,9.652
10.85,585.253,10.861
16.14,722.534,12.071
14.41,874.267,13.281
20.39,1040.45,14.492
5.44,65.028,3.615
8.08,115.606,4.822
10.55,180.634,6.028
12.46,260.112,7.236
11.58,354.042,8.444
16.29,462.422,9.652
10.83,585.253,10.861
16.2,722.534,12.071
14.42,874.267,13.281
21.08,1040.45,14.492
4.03,65.028,3.615
8.1,115.606,4.822
10.58,180.634,6.028
12.5,260.112,7.236
12.58,354.042,8.444
14.96,462.422,9.652
11.25,585.253,10.861
15.37,722.534,12.071
15.34,874.267,13.281
20.32,1040.45,14.492
6.37,65.028,3.615
7.86,115.606,4.822
8.78,180.634,6.028
12.62,260.112,7.236
13.42,354.042,8.444
14.97,462.422,9.652
11.23,585.253,10.861
15.25,722.534,12.071
15.14,874.267,13.281
20.13,1040.45,14.492
