Throughput,FLOPS,MEM
1.31,0.589,0.262
2.23,2.341,1.041
1.84,5.77,2.566
1.81,10.912,4.851
1.75,18.782,8.349
1.84,30.001,13.336
1.8,44.458,19.762
1.82,62.065,27.587
1.72,85.488,37.998
1.58,113.246,50.335
1.44,0.589,0.262
2.08,2.341,1.041
1.75,5.77,2.566
1.64,10.912,4.851
1.7,18.782,8.349
1.8,30.001,13.336
1.73,44.458,19.762
1.75,62.065,27.587
1.53,85.488,37.998
1.69,113.246,50.335
1.47,0.589,0.262
2.24,2.341,1.041
1.84,5.77,2.566
1.75,10.912,4.851
1.79,18.782,8.349
1.82,30.001,13.336
1.77,44.458,19.762
1.79,62.065,27.587
1.54,85.488,37.998
1.73,113.246,50.335
1.39,0.589,0.262
2.19,2.341,1.041
1.77,5.77,2.566
1.71,10.912,4.851
1.67,18.782,8.349
1.8,30.001,13.336
1.8,44.458,19.762
1.73,62.065,27.587
1.59,85.488,37.998
1.73,113.246,50.335
1.4,0.589,0.262
2.24,2.341,1.041
1.82,5.77,2.566
1.84,10.912,4.851
1.67,18.782,8.349
1.69,30.001,13.336
1.64,44.458,19.762
1.48,62.065,27.587
1.69,85.488,37.998
1.64,113.246,50.335
1.31,0.589,0.262
2.09,2.341,1.041
1.8,5.77,2.566
1.66,10.912,4.851
1.7,18.782,8.349
1.76,30.001,13.336
1.7,44.458,19.762
1.67,62.065,27.587
1.64,85.488,37.998
1.56,113.246,50.335
1.45,0.589,0.262
2.22,2.341,1.041
1.88,5.77,2.566
1.8,10.912,4.851
1.71,18.782,8.349
1.67,30.001,13.336
1.72,44.458,19.762
1.66,62.065,27.587
1.52,85.488,37.998
1.66,113.246,50.335
1.39,0.589,0.262
1.96,2.341,1.041
1.72,5.77,2.566
1.84,10.912,4.851
1.63,18.782,8.349
1.76,30.001,13.336
1.69,44.458,19.762
1.69,62.065,27.587
1.52,85.488,37.998
1.69,113.246,50.335
1.41,0.589,0.262
2,2.341,1.041
1.81,5.77,2.566
1.84,10.912,4.851
1.74,18.782,8.349
1.79,30.001,13.336
1.66,44.458,19.762
1.48,62.065,27.587
1.71,85.488,37.998
1.72,113.246,50.335
1.45,0.589,0.262
2.27,2.341,1.041
1.71,5.77,2.566
1.68,10.912,4.851
1.71,18.782,8.349
1.8,30.001,13.336
1.46,44.458,19.762
1.69,62.065,27.587
1.74,85.488,37.998
1.74,113.246,50.335
1.16,0.589,0.262
2.2,2.341,1.041
1.82,5.77,2.566
1.78,10.912,4.851
1.66,18.782,8.349
1.46,30.001,13.336
1.53,44.458,19.762
1.73,62.065,27.587
1.7,85.488,37.998
1.6,113.246,50.335
0.42,0.589,0.262
0.66,2.341,1.041
0.91,5.77,2.566
1.18,10.912,4.851
1.73,18.782,8.349
1.78,30.001,13.336
1.72,44.458,19.762
1.77,62.065,27.587
1.76,85.488,37.998
1.58,113.246,50.335
1.41,0.589,0.262
2,2.341,1.041
1.86,5.77,2.566
1.85,10.912,4.851
1.76,18.782,8.349
1.81,30.001,13.336
1.77,44.458,19.762
1.84,62.065,27.587
1.67,85.488,37.998
1.71,113.246,50.335
1.45,0.589,0.262
1.98,2.341,1.041
1.83,5.77,2.566
1.83,10.912,4.851
1.69,18.782,8.349
1.69,30.001,13.336
1.73,44.458,19.762
1.74,62.065,27.587
1.53,85.488,37.998
1.7,113.246,50.335
1.43,0.589,0.262
2.25,2.341,1.041
1.75,5.77,2.566
1.65,10.912,4.851
1.67,18.782,8.349
1.88,30.001,13.336
1.63,44.458,19.762
1.63,62.065,27.587
1.55,85.488,37.998
1.68,113.246,50.335
