Throughput,FLOPS,MEM
0.48,65.028,3.615
1.79,115.606,4.822
1.67,180.634,6.028
3.39,260.112,7.236
5.15,354.042,8.444
6.03,462.422,9.652
5.02,585.253,10.861
6.61,722.534,12.071
7.16,874.267,13.281
7.17,1040.45,14.492
1.95,65.028,3.615
3.2,115.606,4.822
3.64,180.634,6.028
4.83,260.112,7.236
4.97,354.042,8.444
5.89,462.422,9.652
5.26,585.253,10.861
6.62,722.534,12.071
6.89,874.267,13.281
7.3,1040.45,14.492
1,65.028,3.615
1.61,115.606,4.822
2.87,180.634,6.028
3.81,260.112,7.236
3.85,354.042,8.444
5.87,462.422,9.652
5.08,585.253,10.861
6.69,722.534,12.071
7.17,874.267,13.281
7.15,1040.45,14.492
2.21,65.028,3.615
3.07,115.606,4.822
4.02,180.634,6.028
4.52,260.112,7.236
4.93,354.042,8.444
5.67,462.422,9.652
5.1,585.253,10.861
6.48,722.534,12.071
6.77,874.267,13.281
7.17,1040.45,14.492
2.38,65.028,3.615
2.86,115.606,4.822
3.87,180.634,6.028
4.36,260.112,7.236
4.85,354.042,8.444
5.87,462.422,9.652
4.94,585.253,10.861
6.47,722.534,12.071
6.84,874.267,13.281
7.06,1040.45,14.492
2.11,65.028,3.615
3.05,115.606,4.822
3.73,180.634,6.028
4.72,260.112,7.236
5.12,354.042,8.444
5.85,462.422,9.652
5.3,585.253,10.861
6.46,722.534,12.071
7.06,874.267,13.281
7.38,1040.45,14.492
2.12,65.028,3.615
2.82,115.606,4.822
4.05,180.634,6.028
4.5,260.112,7.236
5.17,354.042,8.444
5.8,462.422,9.652
5.26,585.253,10.861
6.7,722.534,12.071
7.15,874.267,13.281
7.32,1040.45,14.492
2.13,65.028,3.615
3.21,115.606,4.822
3.72,180.634,6.028
4.86,260.112,7.236
5.08,354.042,8.444
5.91,462.422,9.652
5.3,585.253,10.861
6.75,722.534,12.071
6.93,874.267,13.281
7.33,1040.45,14.492
2.16,65.028,3.615
2.95,115.606,4.822
3.99,180.634,6.028
4.51,260.112,7.236
5.5,354.042,8.444
5.87,462.422,9.652
5.11,585.253,10.861
6.7,722.534,12.071
7.19,874.267,13.281
7.35,1040.45,14.492
1.96,65.028,3.615
3.04,115.606,4.822
3.92,180.634,6.028
4.63,260.112,7.236
5.11,354.042,8.444
5.88,462.422,9.652
5.29,585.253,10.861
6.61,722.534,12.071
6.96,874.267,13.281
7.34,1040.45,14.492
2.13,65.028,3.615
2.82,115.606,4.822
3.98,180.634,6.028
4.39,260.112,7.236
5.06,354.042,8.444
5.89,462.422,9.652
5.01,585.253,10.861
6.53,722.534,12.071
6.98,874.267,13.281
7.18,1040.45,14.492
2.2,65.028,3.615
3.12,115.606,4.822
3.81,180.634,6.028
4.51,260.112,7.236
4.91,354.042,8.444
5.76,462.422,9.652
5.17,585.253,10.861
6.57,722.534,12.071
6.81,874.267,13.281
7.29,1040.45,14.492
2.24,65.028,3.615
3.04,115.606,4.822
3.66,180.634,6.028
4.41,260.112,7.236
5.22,354.042,8.444
5.65,462.422,9.652
5.08,585.253,10.861
6.48,722.534,12.071
7.05,874.267,13.281
7.17,1040.45,14.492
0.99,65.028,3.615
1.08,115.606,4.822
2.02,180.634,6.028
3.69,260.112,7.236
3.87,354.042,8.444
4.73,462.422,9.652
5.15,585.253,10.861
6.39,722.534,12.071
6.92,874.267,13.281
7.07,1040.45,14.492
2.42,65.028,3.615
2.88,115.606,4.822
3.93,180.634,6.028
4.42,260.112,7.236
4.97,354.042,8.444
5.76,462.422,9.652
5.17,585.253,10.861
6.55,722.534,12.071
6.88,874.267,13.281
7.22,1040.45,14.492
