Throughput,FLOPS,MEM
14.69,33.554,1.049
17.15,79.304,1.86
20.69,155.709,2.917
23.23,268.435,4.194
21.97,425.552,5.703
24.32,637.224,7.464
22.35,905.97,9.437
26.19,1241.301,11.642
24.73,1655.872,14.108
26.23,2147.484,16.777
16.16,33.554,1.049
17.41,79.304,1.86
21.28,155.709,2.917
23.98,268.435,4.194
22.33,425.552,5.703
22.06,637.224,7.464
23.28,905.97,9.437
23.68,1241.301,11.642
25.61,1655.872,14.108
25.22,2147.484,16.777
4.84,33.554,1.049
12.62,79.304,1.86
20.76,155.709,2.917
23.2,268.435,4.194
22.61,425.552,5.703
24.38,637.224,7.464
22.3,905.97,9.437
26.13,1241.301,11.642
24.63,1655.872,14.108
25.17,2147.484,16.777
4.93,33.554,1.049
16.43,79.304,1.86
22.13,155.709,2.917
24.91,268.435,4.194
22.93,425.552,5.703
24.44,637.224,7.464
22.44,905.97,9.437
27.49,1241.301,11.642
24.76,1655.872,14.108
25.16,2147.484,16.777
4.42,33.554,1.049
12.99,79.304,1.86
20.92,155.709,2.917
24.58,268.435,4.194
22.88,425.552,5.703
24.15,637.224,7.464
22.41,905.97,9.437
26.26,1241.301,11.642
24.76,1655.872,14.108
25.87,2147.484,16.777
15.97,33.554,1.049
17.66,79.304,1.86
21.39,155.709,2.917
24,268.435,4.194
22.41,425.552,5.703
23.26,637.224,7.464
21.45,905.97,9.437
24.25,1241.301,11.642
22.51,1655.872,14.108
22.83,2147.484,16.777
15.65,33.554,1.049
17.33,79.304,1.86
21.33,155.709,2.917
23.86,268.435,4.194
21.7,425.552,5.703
19.07,637.224,7.464
23.51,905.97,9.437
21.35,1241.301,11.642
21.8,1655.872,14.108
22.25,2147.484,16.777
5.2,33.554,1.049
17.82,79.304,1.86
21.68,155.709,2.917
24.19,268.435,4.194
22.47,425.552,5.703
23.85,637.224,7.464
22.33,905.97,9.437
25.86,1241.301,11.642
24.11,1655.872,14.108
24.54,2147.484,16.777
10.35,33.554,1.049
18.05,79.304,1.86
21.8,155.709,2.917
24.68,268.435,4.194
22.76,425.552,5.703
24.25,637.224,7.464
22.5,905.97,9.437
27.47,1241.301,11.642
24.73,1655.872,14.108
24.67,2147.484,16.777
4.7,33.554,1.049
17.24,79.304,1.86
21.46,155.709,2.917
24.11,268.435,4.194
22.5,425.552,5.703
23.78,637.224,7.464
22.18,905.97,9.437
25.45,1241.301,11.642
23.91,1655.872,14.108
24.34,2147.484,16.777
15.8,33.554,1.049
17.45,79.304,1.86
21.31,155.709,2.917
24.12,268.435,4.194
17.44,425.552,5.703
23.9,637.224,7.464
25.66,905.97,9.437
23.13,1241.301,11.642
24.16,1655.872,14.108
24.76,2147.484,16.777
16.15,33.554,1.049
18.03,79.304,1.86
21.96,155.709,2.917
24.06,268.435,4.194
17.64,425.552,5.703
24.29,637.224,7.464
26.15,905.97,9.437
23.41,1241.301,11.642
24.83,1655.872,14.108
25.79,2147.484,16.777
16.46,33.554,1.049
17.86,79.304,1.86
21.76,155.709,2.917
24.57,268.435,4.194
17.52,425.552,5.703
24.09,637.224,7.464
25.84,905.97,9.437
23.42,1241.301,11.642
24.59,1655.872,14.108
25.51,2147.484,16.777
15.82,33.554,1.049
17.91,79.304,1.86
21.7,155.709,2.917
24.38,268.435,4.194
17.48,425.552,5.703
23.98,637.224,7.464
25.51,905.97,9.437
22.84,1241.301,11.642
23.34,1655.872,14.108
23.27,2147.484,16.777
15.97,33.554,1.049
17.42,79.304,1.86
21.43,155.709,2.917
15.27,268.435,4.194
22.06,425.552,5.703
22.74,637.224,7.464
20.87,905.97,9.437
23.43,1241.301,11.642
21.39,1655.872,14.108
21.31,2147.484,16.777
