Throughput,FLOPS,MEM
2.54,110.51,2.462
4.35,157.714,3.613
5.61,307.824,6.206
4.7,389.327,8.082
8.56,648.169,12.261
7.11,772.969,15.036
7.55,1169.123,21.154
6.82,1346.219,25.004
6.01,1908.265,33.416
6.03,2146.656,38.515
2.58,110.51,2.462
4.12,157.714,3.613
6.09,307.824,6.206
5.08,389.327,8.082
8.13,648.169,12.261
6.79,772.969,15.036
7.68,1169.123,21.154
7.59,1346.219,25.004
6.24,1908.265,33.416
6.65,2146.656,38.515
2.74,110.51,2.462
4.4,157.714,3.613
6.69,307.824,6.206
6.96,389.327,8.082
6.4,648.169,12.261
8.21,772.969,15.036
6.82,1169.123,21.154
7,1346.219,25.004
6.04,1908.265,33.416
6.25,2146.656,38.515
2.75,110.51,2.462
4.41,157.714,3.613
5.67,307.824,6.206
4.55,389.327,8.082
7.85,648.169,12.261
6.98,772.969,15.036
7.66,1169.123,21.154
7.72,1346.219,25.004
6.67,1908.265,33.416
6.36,2146.656,38.515
2.57,110.51,2.462
4.56,157.714,3.613
4.57,307.824,6.206
7.01,389.327,8.082
7.69,648.169,12.261
6.72,772.969,15.036
6.74,1169.123,21.154
7.74,1346.219,25.004
6.27,1908.265,33.416
5.94,2146.656,38.515
2.73,110.51,2.462
4.33,157.714,3.613
6.46,307.824,6.206
5.01,389.327,8.082
7.66,648.169,12.261
6.97,772.969,15.036
7.51,1169.123,21.154
6.53,1346.219,25.004
6.15,1908.265,33.416
6.21,2146.656,38.515
2.74,110.51,2.462
4.29,157.714,3.613
5.65,307.824,6.206
4.49,389.327,8.082
7.69,648.169,12.261
6.67,772.969,15.036
6.75,1169.123,21.154
6.78,1346.219,25.004
6.15,1908.265,33.416
6.31,2146.656,38.515
2.72,110.51,2.462
4.37,157.714,3.613
6.63,307.824,6.206
5.29,389.327,8.082
7.77,648.169,12.261
7,772.969,15.036
7.77,1169.123,21.154
6.88,1346.219,25.004
5.99,1908.265,33.416
6.15,2146.656,38.515
2.76,110.51,2.462
4.34,157.714,3.613
6.55,307.824,6.206
5.13,389.327,8.082
8.15,648.169,12.261
7.59,772.969,15.036
7.13,1169.123,21.154
7.54,1346.219,25.004
6.1,1908.265,33.416
6.13,2146.656,38.515
2.72,110.51,2.462
4.26,157.714,3.613
6.69,307.824,6.206
6.91,389.327,8.082
6.45,648.169,12.261
8.16,772.969,15.036
6.98,1169.123,21.154
7.24,1346.219,25.004
6,1908.265,33.416
6.13,2146.656,38.515
2.69,110.51,2.462
4.53,157.714,3.613
7.13,307.824,6.206
7.08,389.327,8.082
6.72,648.169,12.261
7.66,772.969,15.036
7.01,1169.123,21.154
6.84,1346.219,25.004
6.51,1908.265,33.416
6.19,2146.656,38.515
2.74,110.51,2.462
4.25,157.714,3.613
6.65,307.824,6.206
6.59,389.327,8.082
6.35,648.169,12.261
7.94,772.969,15.036
6.94,1169.123,21.154
7.53,1346.219,25.004
5.94,1908.265,33.416
6.13,2146.656,38.515
2.65,110.51,2.462
4.32,157.714,3.613
6.36,307.824,6.206
6.64,389.327,8.082
6.44,648.169,12.261
8.04,772.969,15.036
6.71,1169.123,21.154
6.9,1346.219,25.004
6.46,1908.265,33.416
6.83,2146.656,38.515
2.7,110.51,2.462
4.33,157.714,3.613
6.49,307.824,6.206
6.9,389.327,8.082
6.42,648.169,12.261
8.08,772.969,15.036
6.85,1169.123,21.154
7.04,1346.219,25.004
6.46,1908.265,33.416
6.78,2146.656,38.515
2.74,110.51,2.462
4.31,157.714,3.613
6.52,307.824,6.206
5.04,389.327,8.082
7.76,648.169,12.261
7.83,772.969,15.036
7.01,1169.123,21.154
7.04,1346.219,25.004
6.45,1908.265,33.416
6.6,2146.656,38.515
