Throughput,FLOPS,MEM
5.23,110.51,2.462
3.63,157.714,3.613
9.57,307.824,6.206
13.58,389.327,8.082
14.86,648.169,12.261
15.58,772.969,15.036
12.96,1169.123,21.154
15.46,1346.219,25.004
15.17,1908.265,33.416
15.6,2146.656,38.515
6.74,110.51,2.462
10.48,157.714,3.613
13.01,307.824,6.206
13.48,389.327,8.082
10.06,648.169,12.261
14.41,772.969,15.036
15.08,1169.123,21.154
12.73,1346.219,25.004
15.55,1908.265,33.416
13.81,2146.656,38.515
6.83,110.51,2.462
10.94,157.714,3.613
13.7,307.824,6.206
14.22,389.327,8.082
14.37,648.169,12.261
12.54,772.969,15.036
14.73,1169.123,21.154
15.73,1346.219,25.004
15.41,1908.265,33.416
15.91,2146.656,38.515
6.76,110.51,2.462
10.87,157.714,3.613
13.68,307.824,6.206
8.32,389.327,8.082
14.89,648.169,12.261
15.56,772.969,15.036
15.62,1169.123,21.154
13.43,1346.219,25.004
15.37,1908.265,33.416
17.58,2146.656,38.515
6.82,110.51,2.462
10.9,157.714,3.613
9.24,307.824,6.206
10.23,389.327,8.082
14.94,648.169,12.261
15.65,772.969,15.036
14.73,1169.123,21.154
14.26,1346.219,25.004
15.55,1908.265,33.416
17.73,2146.656,38.515
6.7,110.51,2.462
10.36,157.714,3.613
13.36,307.824,6.206
13.68,389.327,8.082
13.94,648.169,12.261
11.36,772.969,15.036
15.18,1169.123,21.154
13.61,1346.219,25.004
15.6,1908.265,33.416
15.46,2146.656,38.515
6.67,110.51,2.462
10.77,157.714,3.613
13.53,307.824,6.206
8.11,389.327,8.082
14.43,648.169,12.261
15.04,772.969,15.036
13.73,1169.123,21.154
14.18,1346.219,25.004
13.19,1908.265,33.416
13.52,2146.656,38.515
2.32,110.51,2.462
6.03,157.714,3.613
11.2,307.824,6.206
11.71,389.327,8.082
14.52,648.169,12.261
14.48,772.969,15.036
12.32,1169.123,21.154
15.6,1346.219,25.004
13.79,1908.265,33.416
13.57,2146.656,38.515
6.67,110.51,2.462
10.72,157.714,3.613
13.31,307.824,6.206
13.61,389.327,8.082
10.19,648.169,12.261
15.09,772.969,15.036
16.61,1169.123,21.154
14.5,1346.219,25.004
15.41,1908.265,33.416
15.19,2146.656,38.515
6.72,110.51,2.462
10.77,157.714,3.613
13.46,307.824,6.206
13.77,389.327,8.082
14.44,648.169,12.261
16.62,772.969,15.036
13.07,1169.123,21.154
14.99,1346.219,25.004
13.9,1908.265,33.416
14.22,2146.656,38.515
6.83,110.51,2.462
10.83,157.714,3.613
13.25,307.824,6.206
13.7,389.327,8.082
12.36,648.169,12.261
12.88,772.969,15.036
15.5,1169.123,21.154
12.95,1346.219,25.004
15.27,1908.265,33.416
13.83,2146.656,38.515
6.61,110.51,2.462
10.6,157.714,3.613
13.35,307.824,6.206
13.72,389.327,8.082
10.26,648.169,12.261
16.43,772.969,15.036
15.53,1169.123,21.154
12.76,1346.219,25.004
12.94,1908.265,33.416
13.83,2146.656,38.515
6.77,110.51,2.462
10.32,157.714,3.613
13.37,307.824,6.206
13.86,389.327,8.082
14.34,648.169,12.261
14.67,772.969,15.036
12.61,1169.123,21.154
15.02,1346.219,25.004
13.35,1908.265,33.416
13.45,2146.656,38.515
6.73,110.51,2.462
10.55,157.714,3.613
6.28,307.824,6.206
10.46,389.327,8.082
14.17,648.169,12.261
14.25,772.969,15.036
12.3,1169.123,21.154
15.41,1346.219,25.004
13.67,1908.265,33.416
13.35,2146.656,38.515
6.81,110.51,2.462
10.57,157.714,3.613
13.34,307.824,6.206
13.71,389.327,8.082
14.04,648.169,12.261
15,772.969,15.036
12.61,1169.123,21.154
15.31,1346.219,25.004
13.94,1908.265,33.416
14.84,2146.656,38.515
